College Name,State,District/City,Departments,Department Count
Adivasi Pragati Mandal Sanchalit Com. Godavari Shamrao Parulekar College of Arts Commerce & Science,Maharashtra,Palghar,Arts; Commerce; Science,3
"Aldel Education Trust's ST. JOHN COLLEGE OF ENGINEERING AND MANAGEMENT , Palghar",Maharashtra,Palghar,Education; Engineering; Management,3
"Arts, Commerce and Science College, Oros, Kharyewadi",Maharashtra,Sindhudurg,Arts; Commerce; Science,3
"Br.Nath Pais Arts, Commerce and Science Night College, Kudal",Maharashtra,Sindhudurg,Arts; Commerce; Science,3
Dnyan - Ganga Education Trusts College of Education (B.Ed,Maharashtra,Thane,Education,1
Durgadevi Saraf Institute of Management Studies,Maharashtra,Mumbai,Management,1
Gopaldas Jhamatmal Advani College of Law,Maharashtra,Mumbai,Law,1
Guru Nanak College of Education & Research,Maharashtra,Mumbai,Education,1
"Gurukul College of Computer Science & Information Technology, Chiplun",Maharashtra,Ratnagiri,Computer Science; Information Technology; Science,3
HAL-Pravara Aviation Institute,Maharashtra,Nashik,Aeronautics; Aircraft Maintenance Engineering,2
"IBSAR College of Commerce & Science, Dahivali, Karjat",Maharashtra,Raigad,Commerce; Science,2
"Indira Institute Of Pharmacy, Sadavali, Devrukh",Maharashtra,Ratnagiri,Pharmacy,1
"ITM Institute of Hotel Management, Kharghar",Maharashtra,Raigad,Hotel Management; Management,2
"JES College of Commerce, Science & Information Technology",Maharashtra,Mumbai,Commerce; Information Technology; Science,3
"K.G.S. B.Ed. College, Kambare",Maharashtra,Thane,Education,1
K.H.M.W Night College of Commerce,Maharashtra,Mumbai,Commerce,1
Kala Institute of Management Studies & Research,Maharashtra,Mumbai,Arts; Management,2
"Koti Vidya Charitable Trust's , Alamuri Ratnamala Institute of Engineering and Technology, Sapgaon, Shahapur",Maharashtra,Thane,Engineering,1
"Lokmanya Shikshan Prasarak Mandals Arts Commerce & Science Sr. College, Chondhi - Kihim",Maharashtra,Raigad,Arts; Commerce; Science,3
"Lokvikas Samajik Sansthas M.M. Jagtap Senior College of Arts Science & Commerce, Navenagar",Maharashtra,Raigad,Arts; Commerce; Science,3
"M.G.M. College of Commerce, Kamothe",Maharashtra,Thane,Commerce,1
M.G.M. College of Computer Science and Information Technology,Maharashtra,Raigad,Computer Science; Information Technology; Science,3
"M.S. College of Arts, Science & Commerce, Kausa, Thane",Maharashtra,Thane,Arts; Commerce; Science,3
"M.S.P. Mandals G.R. Patil College of Arts, Science, Commerce & B.M.S., Dombivli",Maharashtra,Thane,Arts; Commerce; Science,3
Mahatma Gandhi Missions College of Engineering and Technology,Maharashtra,Raigad,Engineering,1
Matushri Pushpaben Vinubhai Valia College of Commerce,Maharashtra,Mumbai,Commerce,1
"Parle Tilak Vidyalaya Association, M.L. Dahanukar College of Commerce",Maharashtra,Mumbai,Commerce,1
"Pillais HOC College of Engineering & Technology, Rasayani",Maharashtra,Raigad,Engineering,1
"Prabhakar Patil Education Society College, Alibag",Maharashtra,Raigad,Education,1
"R.K. Vidya Prasarak Mandals College of Arts, Commerce & Science",Maharashtra,Thane,Arts; Commerce; Science,3
"R.R. Education Trusts College, B.Ed. College",Maharashtra,Mumbai,Education,1
"Rahul B.Ed. College, Navghar",Maharashtra,Thane,Education,1
Rajaram Shinde College of Master of Business Adminstration,Maharashtra,Ratnagiri,MBA,1
Rajeev Gandhi College of Management Studies,Maharashtra,Thane,Management,1
Ramsheth Thakur College of Commerce & Science,Maharashtra,Mumbai,Commerce; Science,2
Sahyog College of Management Studies,Maharashtra,Thane,Management,1
Saraswati Vidya Bhavan College of Pharmacy,Maharashtra,Thane,Pharmacy,1
Shaheed D.T. Kalani College of Education,Maharashtra,Thane,Education,1
Shahu Shikshan Sansthas Adhyapak Mahavidyalay (B.Ed,Maharashtra,Thane,Education,1
Sharda Education Societys Anand Vishwa Gurukul College of Law,Maharashtra,Thane,Education; Law,2
"Shivajirao Jondhale College of Engineering, (Asangaon",Maharashtra,Thane,Engineering,1
"Shri Hari Educational Trusts, St. Rocks Degree College of Commerce & Science",Maharashtra,Mumbai,Commerce; Science,2
Shri. L.P. Raval College of Mass Media & Management Studies,Maharashtra,Thane,Management,1
"Sonopant Dandekar Shikshan Mandalis Law College, Palghar",Maharashtra,Palghar,Law,1
"Swami Vivekanand Night College Of Arts and Commerce, Dombivli",Maharashtra,Thane,Arts; Commerce,2
The Bassein Gujarati Education Society Shah Khimchandbhai Muljibhai College of Commerce,Maharashtra,Palghar,Commerce; Education,2
The Lords College of Law,Maharashtra,Mumbai,Law,1
"Tolani College of Commerce, Andheri",Maharashtra,Mumbai,Commerce,1
"Vande Mataram College of ASC, Kopar",Maharashtra,Thane,Arts; Commerce; Science,3
Versova Education Trusts Smt. Kamala Mehta V.W.A. College of Commerce,Maharashtra,Mumbai,Commerce; Education,2
Vidyalankar Institute of Technology,Maharashtra,Mumbai,Biomedical Engineering; Computer Engineering; Electronics and Computer Engineering; Electronics and Telecommunication; Engineering/BTech; Information Technology; Management Studies,7
Vidyalankar School of Information Technology,Maharashtra,Mumbai,Information Technology,1
"Vishwaniketan College of Architecture, Arts and Design (VCAAD)",Maharashtra,Raigad,Architecture; Arts,2
Vishwaniketan Institute of Management Enterpreneurship and Engineering Technology (Imeet,Maharashtra,Raigad,Engineering; Management,2
"Vivekanand Law College, Chembur",Maharashtra,Mumbai,Law,1
"A E Kalsekar Degree College of Arts, Commerce and Science, Mumbra",Maharashtra,Mumbai,Arts; Commerce; Science,3
A. D. College Of Education (B. Ed. & M. Ed. ),Maharashtra,Aurangabad,Education,1
A. D. Institute Of Science And Management,Maharashtra,Aurangabad,Management; Science,2
"A. P. Shah Institute of Technology, Thane",Maharashtra,Thane,Engineering/BTech,1
"A.G. Patil Institute of Technology & Polytechnic, Solapur",Maharashtra,Solapur,Civil Engineering; Computer Engineering; Electrical Engineering; Electronics and Telecommunication Engg; Engineering/BTech; Information Technology; Mechanical Engineering,7
A.P. Shah Institute of Technology,Maharashtra,Thane,Civil Engineering; Computer Engineering; Computer Science and Engineering (AI & ML); Computer Science and Engineering (Data Science); Information Technology; Mechanical Engineering,6
Aakash Degree College of Commerce,Maharashtra,Mumbai,Commerce,1
Aarnav Shipping Technological Research Sanstha,Maharashtra,Mumbai,Naval Architecture / Shipbuilding,1
"Abasaheb Garware Institute of Management Studies, S. T. Stand Road, Khanbag, Sangli",Maharashtra,Sangli,Management,1
"Abasaheb Marathe Arts & New Commerce, Science College, Rajapur",Maharashtra,Ratnagiri,Arts; Commerce; Science,3
Abasaheb Parvekar Mv. Yavatmal,Maharashtra,Yavatmal,Arts; Commerce; Science,3
"Abdul Razzak Quadri Institute Of Pg Studies In Education And Research, Place- Khultabad / Verul, Taluka - Khultabad",Maharashtra,Aurangabad,Education,1
Abhay Shikshan Kendras Kranti Jyoti Savitri Bai Phule College of Education B.Ed.,Maharashtra,Mumbai,Education,1
Abhay Shikshan Kendras Rajarshi Shahu College of Law,Maharashtra,Mumbai,Law,1
"Abhinav College of Education, Barshi Road",Maharashtra,Hingoli,Education,1
"Abhinav Education Society Abhinav Education Society's College Of Computer Science & Management(B.Sc.Computer Science,B.B.A.,B.C.A)",Maharashtra,Pune,BSc,1
"Abhinav Education society College of Engineering and Technology (Diploma), Wadwadi, Tal. Khandala",Maharashtra,Pune,Civil Engineering; Computer Engineering; Electrical Engineering; Electronics and Telecommunication Engg; Information Technology; Mechanical Engineering,6
Abhinav Education Society Institute of Management & Research.,Maharashtra,Pune,MCA,1
"Abhinav Education Society's College of Engineering and Technology (Degree), Wadwadi",Maharashtra,Pune,Engineering/BTech,1
"Abhinav Shetkari Shikshan Mandals Abhinav College of Arts, Commerce & Science, B.Sc. (IT), B.M.M., B.Lib., B.Com (A & F), B.Com. (FM",Maharashtra,Thane,Arts; B.Sc; Commerce; Science,4
"Achara College of Management Studies, Achara",Maharashtra,Sindhudurg,Management,1
"Acharya Jawadekar Shikshanshastra Mahavidyalaya, GARGOTI-416 209 Dist:Kolhapur",Maharashtra,Kolhapur,Education,1
"Acharya Shrimannarayan Polytechnic, Pimpri-Wardha",Maharashtra,Pune,Civil and Rural Engineering; Mechanical Engineering,2
Achievers Night College of Commerce & Management,Maharashtra,Thane,Commerce; Management,2
"Adarsh Arts, Commerce And Science College, Dhavada, Place- Valsavangi,Taluka - Bhokardan",Maharashtra,Jalna,Arts; Commerce; Science,3
"Adarsh College Of Arts, Commerce And Science,Rajur(Ganpati), Taluka - Bhokardan",Maharashtra,Jalna,Arts; Commerce; Science,3
"Adarsh College Of Computer Science And Management, Bhokardan Road, Place- Jafrabad, Taluka - Jafrabad",Maharashtra,Jalna,Computer Science; Management; Science,3
"Adarsh College Omerga Tq.Omerga, Dist. Osmanabad.",Maharashtra,Osmanabad,Arts; Commerce; Science,3
"Adarsh College,VITA – 415 311 Tal :Khanapur,Dist-Sangli",Maharashtra,Sangli,Arts; BCA; Commerce; Science,4
"Adarsh Polytechnic, Dhule",Maharashtra,Dhule,Civil Engineering; Electrical Engineering; Mechanical Engineering,3
Adarsh Shiksan Mandal Ideal College of Pharmacy & Research,Maharashtra,Thane,Pharmacy,1
"Adarsh Shikshan Prasarak Mandal's K. T. Patil College of Engineering and Technology, Dharashiv",Maharashtra,Osmanabad,Civil Engineering; Computer Science and Engineering; Electrical and Electronics Engineering; Electronics and Telecommunication Engg; Mechanical Engineering,5
"Adarsh Shikshan Prasarak Mandal's K. T. Patil College of Engineering and Technology, Osmanabad",Maharashtra,Osmanabad,Engineering/BTech,1
"Adarsh Shikshan Prasarak Mandals, K. T. Patil College Of Education, Place-Osmanabad, Taluka - Osmanabad",Maharashtra,Osmanabad,Education,1
"Adarsh Shikshan Prasarak Mandals, K. T. Patil College Of M. B. A, Place-Osmanabad, Taluka - Osmanabad",Maharashtra,Osmanabad,MBA,1
"Adarsh Shikshan Prasark Mandal Shri. Bapusaheb D.D. Vispute B.Ed. College, New Panvel",Maharashtra,Raigad,Education,1
"Adarsh Shikshan Sansthas, Women College Of Education, Place- Beed City",Maharashtra,Beed,Education,1
"Adarsh Vidya Prasarak Santhas Adarsh College of Arts & Commerce, Badlapur",Maharashtra,Thane,Arts; Commerce,2
"Adarsha Bahuuddeshiya Shikshan Prasarak Mandal, Dr. R . N. Lahoti Polytechnic, Sultanpur",Maharashtra,Buldhana,Computer Technology; Information Technology,2
"Adarsha Edu. Society's Arts Commerce & Science College, Hingoli Dist. Hingoli",Maharashtra,Hingoli,Arts; Commerce; Science,3
Adarsha Mv. Dhamangaon Rly.,Maharashtra,Amravati,Arts; BCA; Commerce; Science,4
"Adarsha Science, Jairamdas Bhagchand Arts & Birla Commerce Mv., Dhamangaon Rly.",Maharashtra,Amravati,Arts; Commerce; Science,3
"Adhyapak Mahavidyalay, Bharne",Maharashtra,Ratnagiri,Education,1
"Aditiya Coll of Computer & Information Technology, Selu Dist. Parbhani",Maharashtra,Parbhani,Information Technology,1
Aditya Architecture College,Maharashtra,Mumbai,Architecture,1
"Aditya Bahuddeshiya Sanstha, Aditya Polytechnic, Beed",Maharashtra,Beed,Computer Science and Engineering; Electrical Engineering; Electronics and Telecommunication Engg; Information Technology; Mechanical Engineering,5
Aditya College of Architecture,Maharashtra,Mumbai,Architecture,1
"Aditya College Of M. B. A. , Beed",Maharashtra,Beed,MBA,1
"Aditya Education Societys, Aditya College Of Education, Place- Beed City, Taluka - Beed",Maharashtra,Beed,Education,1
